,,,,
,,,,
Nombre,Tipo,Locación,País,Correo de contacto
Cafi  Guatemala,Distribuidor,AVENIDA ELENA 6-42 ZONA 3 CIUDAD GUATEMALA GUATEMALA,Guatemala,ventasguatemala@jypesa.com
Cafi El Salvador,Distribuidor,Blvd Vijosa calle L-1 N 44-C  ciudad Merliot,El Salvador,ventassalvador@jypesa.com
Cafi Belen,Distribuidor,"POTRERILLOS, 400 METROS OESTE Y 25 METROS SUR DEL SOL NACIENTE, CONTIGUO A PRODUCTOS DE CONCRETO. BODEGA 3 Y 4 ALAJUELA SAN RAFAEL 20108 COSTA RICA",Costa Rica,ventascr@jypesa.com
Distribuidora M Y G ,Distribuidor,"EDIFICIO PLAZA REAL  LOCAL 10 ENTRE 18 Y 19 AVE. 2 CALLE BARRIO RIO DE PIEDRAS C.P.21101 SAN PEDRO SULA, CORTES HONDURAS",Honduras,ventashonduras@jypesa.com
Rutacom,Distribuidor,"AV. PORTALES # 856 ENTRE AV. PANDO Y AV. M. URQUIDI ED. HUPERMALL, PISO 8, OFICINA 7 QUERU QUERU COCHABAMBA",Bolivia,ventasbol@jypesa.com
Drogueria,Distribuidor,AV. EMILIO CAVENECIA #151 INTERIOR 702 MIRAFLORES LIMA PERU,Perú,ventasperu@jypesa.com
Onatextiles,Distribuidor,"NAVES DEL CANAL ESTE, FASE II LOCAL 5 SECTOR FRIUSA BAVARO LA ALTAGRACIA REP. DOMINICANA",Rep. Dominicana,ventasrd@jypesa.com
DFL Importers,Distribuidor,71 MOLYNES ROAD KINGSTON JAMAAW10 JAMAICA,Jamaica,salesjamaica@jypesa.com
Cosmoceutical Pharma,Distribuidor,"La Niña E852 y Diego de Almagro. Edif. Royal Business, Oficina 608, Quito",Ecuador,ventasecuador@jypesa.com
World Target Supplies,Distribuidor,"URBANIZACION LOS ÁNGELES, CALLE 63, CASA A 11, CORREGIMIENTO DE BETANIA REP. DE PANAMÁ PANAMÁ ",Panamá,ventaspanama@jypesa.com
Helios Colombia,Distribuidor,CALLE 127 # 70 G-78 OFICINA 411 BOGOTÁ COLOMBIA,Colombia,ventascolombia@jypesa.com
Jypesa Chile,Distribuidor,"Coyancura 2241, 7510151 Providencia, Región Metropolitana, Chile",Chile,ventaschile@jypesa.com
Galyfer,Distribuidor,ALICANTE  No Ext. 1740 MONTEVIDEO URUGUAY,Uruguay,ventasuruguay@jypesa.com
PRODUCTOS DE LIMPIEZA DEL VALLE,Distribuidor,MELCHOR OCAMPO # 717,"MEXICO, OAXACA DE JUAREZ",https://www.facebook.com/naturyoaxaca
INSUMOS DEL NORTE,Distribuidor,MANUEL J. CLOUTHIER #451-5,"MEXICO, CD JUAREZ ",https://insumosdelnorte.com/
HOTEL STORE PUERTO VALLARTA,Distribuidor,AV TEPIC NORTE 473,"MEXICO, PTO VALLARTA",
FARMASES,Distribuidor,Calle Cabrera #147,"MEXICO, MONTERREY ",https://www.farmases.com/
ORAN QUIMICOS E INSUMOS,Distribuidor,AMADO NERVO 805-A,"MEXICO, TAMAULIPAS",https://www.distribucionesestrella.com/
COMERCIAL SANITARIA,Distribuidor,"Blvd. Luis Encinas s/n, entre Carbo y Ures, Col. Centro Hermosillo, Sonora, México C.P. 83000","MEXICO, SONORA",https://www.comercialsanitaria.mx/
INSUMOS DE LA LIMPIEZA E HIGIENE,Distribuidor,"Circuito Bosques de la Trinidad, No. 220, Plan de Ayala, Tuxtla Gutiérrez, Mexico","MEXICO,CHIAPAS",https://insumos.com.mx/
EQUILIMP,Distribuidor,"AV PEÑUELAS 21 INT 20B, SAN PEDRITO PEÑUELAS, QUERETARO","MEXICO,QUERETARO",https://equilimp.com.mx/
JOFA,Distribuidor,Mexicali: Calle F #2473,"MEXICO,MEXICALI Y TIJUANA",https://jofa.com.mx/
ESCENCIA HOTELERA,Distribuidor,Calle Millet #19 dep 13 Eucalipto Vallarta,"MEXICO, COLIMA",
Marquise hospitality,Distribuidor,,Texas,www.marquisehospitality.com
Rutherford supply,Distribuidor,,Virginia,https://rutherfordsupply.com/
Justice Packaging,Distribuidor,,Georgia,https://correctionsmarketplace.com/
Turnkey Options,Distribuidor,,Virginia,https://www.turnkeyoptionsllc.com/
Liberty Distribution,Distribuidor,,West Virginia,https://libertydistributors.com/
Bright Textiles,Distribuidor,"3542 E T C Jester Blvd, Houston, TX, United States, 77018",texas,https://www.facebook.com/brightextiles/
Black Dogs Hosp,Distribuidor,,,
Paper Chemical,Distribuidor,,Savanna Georgia,https://www.paperchemicalsupply.com/Web/
GARAU,Distribuidor,,Palma de Mallorca,
Tu Pack,Distribuidor,,Barcelona,
Packetalia,Distribuidor,,Comunidad Valenciana,
Eco One,Distribuidor,,Madrid,
Jypesa oficinas centrales,Oficinas,"Av. Acueducto 2100, Colinas de San Javier, 45110 Guadalajara, Jal., México",Guadalajara,
Jypesa North America,Oficinas,TBD,Texas,
Jypesa Colombia,Oficinas,,,
Juan de Hoyos,Distribuidor,,Colombia,https://www.jdh.com.co/
Jypesa,Fabrica,,Guadalajara,cernicalo 155
